sku,ean,descricao,criado_em,atualizado_em
AL406,7908713203615,MICHA KIT COM 9 PEÇAS - COR: PRETO - CÓD AL406 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL407,7908713205626,MICHA 34 PEÇAS - CÓD: AL407 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL422,7908713205633,MONÓCULO LUNETA 16X52 - CÓD: AL422 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL427,7908713203776,REFRATÔMETRO - TAMANHO: 18X4X3CM - COR: BRANCO - CÓD: AL427 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL435,7908713209525,CONJUNTO DE BROCAS DIAMANTADAS COM 10 PECAS - COR: PRATA - CÓD: AL435 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL44,7908713205404,MAÇARICO VERDE - CÓD: AL44 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL440-1,7908713209174,ESTAÇÃO DE RETRABALHO ANTIESTÁTICA 110V - CÓD: AL440-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL440-2,7908713207927,ESTAÇÃO DE RETRABALHO ANTIESTÁTICA 220V - CÓD: AL440-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL442-1,7908713209440,ESTAÇÃO DE SOLDA YIHUA 926 LED - COD.: AL442-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL442-2,7908713209457,ESTAÇÃO DE SOLDA YIHUA 926 LED - COD.: AL442-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL445-B,7908713203639,"MINI COFRE MECÂNICO - TAMANHO: 18x12x10,5 cm - COR: PRETO - CÓD: AL445-B - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL445-PK,7908713210163,"MINI COFRE MECÂNICO - TAMANHO: 18x12x10,5 CM - COR: ROSA - CÓD: AL445-PK - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL445-R,7908713203646,"MINI COFRE MECÂNICO - TAMANHO: 18x12x10,5 cm - COR: VERMELHO - CÓD: AL445-R - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL445-W,7908713203653,"MINI COFRE MECÂNICO - TAMANHO: 18x12x10,5 CM - COR: BRANCO - CÓD: AL445-W - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL45,7908713205411,MAÇARICO - CÓD: AL45 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL451-B,7908713209532,DISPENSER BEBIDAS BOMBA DE GASOLINA RETRO VINTAGE - CÓD: AL451-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL451-C,7908713207958,DISPENSER BEBIDAS BOMBA DE GASOLINA RETRO VINTAGE - CÓD: AL451-C - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL451-R,7908713207989,DISPENSER BEBIDAS BOMBA DE GASOLINA RETRO VINTAGE - CÓD: AL451-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL461-BL,7908713201116,ORGANIZADOR CARRO COM AREA TÉRMICA - COR: AZUL - COD: AL461-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL461-R,7908713201093,ORGANIZADOR CARRO COM AREA TÉRMICA - COR: VERMELHO - COD: AL461-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL48,7908713205428,LANÇA CHAMAS VERMELHO - CÓD: AL48 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL49,7908713205435,LANÇA CHAMA DE GATILHO LONGO - CÓD: AL49 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL499,7908713203738,MANTA DE SILICONE CANECAS CILINDRICAS 11OZ 325ML - COR: VERDE - CÓD: AL499 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL50,7908713206739,MAÇARICO PORTÁTIL DE GÁS - CÓD: AL50 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL5002,7908713203745,TORNEIRA GOURMET MISTURADOR MONOCOMANDO 1/4 VOLTA - CÓD: AL5002 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL501,7908713206807,PLOTTER DE RECORTE PROFISSIONAL KH720 - CÓD: AL501 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL5010,7908713205909,RASPADOR PARA ACABAMENTOS DE CANTOS. ACOMPANHADO DE 5 TAMANHOS - AL5010 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL53,7908713205442,PISTOLA DE PINTURA K3 - CÓD: AL53 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL533,7908713209167,CONTROLADOR DE CARGA 60A - CÓD: AL533 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL54,7908713208382,AERÓGRAFO PRO COM 2 CUBAS VIDRO - CÓD: AL54 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL540,7908713203318,REF.: AL540 - JOGO DE FERRAMENTAS CONTENDO: 9 CHAVES CATRACAS COMBINADAS 6MM 8MM 10MM 11MM 12MM 13MM 14MM 15MM E 17MM; A,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL541,7908713203295,AL541 - JOGO DE SOQUETE CONTENDO 32 PECAS SENDO 19 SOQUETES SEXTAVADOS (8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 27,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL542,7908713203301,KIT FLANGEADOR E ALARGADOR DE TUBOS DE COBRE E ALUMINIO - CÓR: AL542 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL544,7908713208221,"ALICATE CORTAR VERGALHÃO, FERRO, CORRENTE DE AÇO - AL544 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL545,7908713205640,ALICATE 30 POLEGADAS CORTA FERRO CORRENTE E AÇO - CÓD: AL545 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL547,7908713201062,PISTOLA DE PINTURA AEROGRAFO - TAMANHO: 33X20X10CM - CÓD.: AL547 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
